2.08824 {:process 1, :type :ok, :f :write, :value 78}
2.08866 {:process 1, :type :invoke, :f :read, :value nil}
2.44919 {:process 1, :type :ok, :f :read, :value 50}
2.45034 {:process 1, :type :invoke, :f :write, :value 15}
2.79809 {:process 1, :type :ok, :f :write, :value 15}
2.7991 {:process 1, :type :invoke, :f :write, :value 37}
3.14635 {:process 1, :type :ok, :f :write, :value 37}
3.14649 {:process 1, :type :invoke, :f :write, :value 43}
3.4861 {:process 1, :type :ok, :f :write, :value 43}
3.48652 {:process 1, :type :invoke, :f :write, :value 84}
3.82285 {:process 1, :type :ok, :f :write, :value 84}
3.82371 {:process 1, :type :invoke, :f :write, :value 89}
4.17694 {:process 1, :type :ok, :f :write, :value 89}
4.1771 {:process 1, :type :invoke, :f :read, :value nil}
4.51192 {:process 1, :type :ok, :f :read, :value 66}
4.51332 {:process 1, :type :invoke, :f :write, :value 22}
4.87726 {:process 1, :type :ok, :f :write, :value 22}
4.87814 {:process 1, :type :invoke, :f :write, :value 49}
5.21201 {:process 1, :type :ok, :f :write, :value 49}
5.21242 {:process 1, :type :invoke, :f :write, :value 11}
5.55963 {:process 1, :type :ok, :f :write, :value 11}
5.56117 {:process 1, :type :invoke, :f :write, :value 65}
5.90562 {:process 1, :type :ok, :f :write, :value 65}
5.9068 {:process 1, :type :invoke, :f :write, :value 93}
6.242 {:process 1, :type :ok, :f :write, :value 93}
6.24239 {:process 1, :type :invoke, :f :write, :value 63}
6.60137 {:process 1, :type :ok, :f :write, :value 63}
6.60153 {:process 1, :type :invoke, :f :write, :value 84}
6.93996 {:process 1, :type :ok, :f :write, :value 84}
6.94219 {:process 1, :type :invoke, :f :write, :value 44}
7.30374 {:process 1, :type :ok, :f :write, :value 44}
7.30417 {:process 1, :type :invoke, :f :write, :value 62}
7.63557 {:process 1, :type :ok, :f :write, :value 62}
7.63595 {:process 1, :type :invoke, :f :write, :value 85}
8.01665 {:process 1, :type :ok, :f :write, :value 85}
8.01685 {:process 1, :type :invoke, :f :write, :value 18}
8.37651 {:process 1, :type :ok, :f :write, :value 18}
8.37693 {:process 1, :type :invoke, :f :write, :value 60}
8.75458 {:process 1, :type :ok, :f :write, :value 60}
8.75498 {:process 1, :type :invoke, :f :write, :value 64}
9.09878 {:process 1, :type :ok, :f :write, :value 64}
9.10187 {:process 1, :type :invoke, :f :write, :value 25}
9.43527 {:process 1, :type :ok, :f :write, :value 25}
9.43627 {:process 1, :type :invoke, :f :write, :value 22}
9.77421 {:process 1, :type :ok, :f :write, :value 22}
9.77463 {:process 1, :type :invoke, :f :write, :value 28}
0.00194229 {:process 1, :type :invoke, :f :write, :value 35}
0.342128 {:process 1, :type :ok, :f :write, :value 35}
0.343064 {:process 1, :type :invoke, :f :read, :value nil}
0.681431 {:process 1, :type :ok, :f :read, :value 29}
0.681862 {:process 1, :type :invoke, :f :write, :value 26}
1.03839 {:process 1, :type :ok, :f :write, :value 26}
1.03858 {:process 1, :type :invoke, :f :write, :value 37}
1.38528 {:process 1, :type :ok, :f :write, :value 37}
1.38631 {:process 1, :type :invoke, :f :write, :value 36}
1.77714 {:process 1, :type :ok, :f :write, :value 36}
1.77756 {:process 1, :type :invoke, :f :write, :value 78}
2.10753 {:process 1, :type :ok, :f :write, :value 78}
2.10792 {:process 1, :type :invoke, :f :read, :value nil}
2.43805 {:process 1, :type :ok, :f :read, :value 50}
2.43909 {:process 1, :type :invoke, :f :write, :value 15}
2.7822 {:process 1, :type :ok, :f :write, :value 15}
2.78332 {:process 1, :type :invoke, :f :write, :value 37}
3.16727 {:process 1, :type :ok, :f :write, :value 37}
3.16743 {:process 1, :type :invoke, :f :write, :value 43}
3.53555 {:process 1, :type :ok, :f :write, :value 43}
3.5366 {:process 1, :type :invoke, :f :write, :value 84}
3.89939 {:process 1, :type :ok, :f :write, :value 84}
3.90048 {:process 1, :type :invoke, :f :write, :value 89}
4.25332 {:process 1, :type :ok, :f :write, :value 89}
4.25369 {:process 1, :type :invoke, :f :read, :value nil}
4.60342 {:process 1, :type :ok, :f :read, :value 66}
4.60479 {:process 1, :type :invoke, :f :write, :value 22}
4.94946 {:process 1, :type :ok, :f :write, :value 22}
4.95054 {:process 1, :type :invoke, :f :write, :value 49}
5.30476 {:process 1, :type :ok, :f :write, :value 49}
5.30582 {:process 1, :type :invoke, :f :write, :value 11}
5.64443 {:process 1, :type :ok, :f :write, :value 11}
5.64542 {:process 1, :type :invoke, :f :write, :value 65}
5.88511 {:process 1, :type :ok, :f :write, :value 65}
5.88548 {:process 1, :type :invoke, :f :write, :value 93}
6.2083 {:process 1, :type :ok, :f :write, :value 93}
6.2094 {:process 1, :type :invoke, :f :write, :value 63}
6.5462 {:process 1, :type :ok, :f :write, :value 63}
6.54724 {:process 1, :type :invoke, :f :write, :value 84}
6.90574 {:process 1, :type :ok, :f :write, :value 84}
6.90616 {:process 1, :type :invoke, :f :write, :value 44}
7.25167 {:process 1, :type :ok, :f :write, :value 44}
7.25278 {:process 1, :type :invoke, :f :write, :value 62}
7.58427 {:process 1, :type :ok, :f :write, :value 62}
7.5844 {:process 1, :type :invoke, :f :write, :value 85}
7.90435 {:process 1, :type :ok, :f :write, :value 85}
7.90474 {:process 1, :type :invoke, :f :write, :value 18}
8.25331 {:process 1, :type :ok, :f :write, :value 18}
8.25427 {:process 1, :type :invoke, :f :write, :value 60}
8.61165 {:process 1, :type :ok, :f :write, :value 60}
8.61362 {:process 1, :type :invoke, :f :write, :value 64}
8.95788 {:process 1, :type :ok, :f :write, :value 64}
8.95934 {:process 1, :type :invoke, :f :write, :value 25}
9.29727 {:process 1, :type :ok, :f :write, :value 25}
9.29745 {:process 1, :type :invoke, :f :write, :value 22}
9.63286 {:process 1, :type :ok, :f :write, :value 22}
9.63298 {:process 1, :type :invoke, :f :write, :value 28}
9.97531 {:process 1, :type :ok, :f :write, :value 28}
9.97643 {:process 1, :type :invoke, :f :write, :value 05}
10.3076 {:process 1, :type :ok, :f :write, :value 05}
10.309 {:process 1, :type :invoke, :f :write, :value 46}
10.5437 {:process 1, :type :ok, :f :write, :value 46}
10.5508 {:process 1, :type :invoke, :f :write, :value 72}
10.8844 {:process 1, :type :ok, :f :write, :value 72}
10.8859 {:process 1, :type :invoke, :f :read, :value nil}
